1,Keyboard,Male,23,Right,Yes,36,0,5
1,Touch,Male,23,Right,Yes,90,7,1
2,Keyboard,Female,24,Left,Yes,240,31,4
2,Touch,Female,24,Left,Yes,17,0,5
3,Keyboard,Male,24,Right,Yes,67,0,4
3,Touch,Male,24,Right,Yes,42,1,3
4,Keyboard,Male,22,Both,Yes,183,1,5
4,Touch,Male,22,Both,Yes,83,0,2
5,Keyboard,Female,35,Right,No,452,11,5
6,Keyboard,Female,30,Right,No,45,4,5
6,Touch,Female,30,Right,No,99,2,1
7,Keyboard,Male,23,Right,Yes,42,1,5
7,Touch,Male,23,Right,Yes,67,0,3
8,Keyboard,Male,20,Left,Yes,36,1,5
8,Touch,Male,20,Left,Yes,22,0,4
9,Keyboard,Male,20,Right,Yes,30,0,5
9,Touch,Male,20,Right,Yes,65,1,2.5
10,Keyboard,Female,24,Right,Yes,189,4,5
10,Touch,Female,24,Right,Yes,146,0,5
